Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'Black/Brown')]",[0.95585251 0.69951449],32,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'White')]",[0.98565754 0.79672394],53,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'Tan/Black')]",[0.82592164 0.94940998],34,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'Brown Brindle/White')]",[1.12947815 0.93651945],43,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'Tan/White')]",[0.8641502  0.62156912],63,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 months'), ('Color', 'White/Brown')]",[1.07827904 0.81198147],32,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '2 weeks'), ('Color', 'Black/White')]",[0.71139803 0.74257347],41,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Tan')]",[0.79704431 0.96590534],40,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Brown')]",[0.84855695 0.8367521 ],49,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Black/White')]",[0.93320943 0.77102237],181,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Blue/White')]",[0.89933254 0.71947781],33,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'White/Black')]",[0.83051783 0.84582992],65,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Black/Tan')]",[1.10382835 0.77852659],50,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Black')]",[1.13253383 0.93524958],58,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Brown/White')]",[0.93744395 0.84112638],77,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Brown Brindle')]",[1.04020006 0.91990746],31,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Brown/Black')]",[0.91798699 0.61424397],37,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Tricolor')]",[0.93520438 0.77806882],55,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Black/Brown')]",[0.43459972 0.74586575],35,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'White')]",[0.99942013 1.09441347],54,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Brown Brindle/White')]",[0.81246511 0.4033345 ],37,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'Tan/White')]",[1.05483619 1.0678826 ],67,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '7 months'), ('Color', 'White/Brown')]",[0.84901984 0.55543974],43,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Tan')]",[1.51465402 1.3655075 ],77,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Brown')]",[1.35326317 1.25609198],90,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Red')]",[1.32966956 1.14212004],40,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Black/White')]",[1.31169938 1.1039487 ],141,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'White/Black')]",[1.38181821 1.33994562],48,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Black/Tan')]",[1.34667419 1.04552982],68,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Black')]",[1.35129003 1.22476122],101,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Brown/White')]",[1.19936858 0.92576652],76,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Brown/Black')]",[1.36889997 1.323159  ],44,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Tricolor')]",[1.18827318 1.14355794],61,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Black/Brown')]",[1.34281994 1.11546307],56,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'White')]",[1.24532303 1.08986169],115,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'Tan/White')]",[1.4855246  1.37227385],60,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'White/Brown')]",[1.11025882 1.00214999],41,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '10 years'), ('Color', 'White/Tan')]",[1.19848995 0.97058505],38,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Tan')]",[0.97590793 0.95126203],68,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Brown')]",[0.9575557  0.96413004],66,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Black/White')]",[0.92333967 0.68782097],244,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Blue/White')]",[1.20012841 0.8273685 ],46,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'White/Black')]",[0.96365931 0.82673933],65,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Black/Tan')]",[0.90267887 0.74527478],73,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Black')]",[0.88005438 0.63762947],96,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Brown/White')]",[1.12011971 0.72447724],71,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Brown/Black')]",[0.85334737 0.80307725],43,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Tricolor')]",[1.07273965 0.95293747],58,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Black/Brown')]",[0.90295118 0.82888689],50,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'White')]",[1.06114212 0.86644697],76,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Brown Brindle/White')]",[0.99968162 0.74881192],60,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Tan/White')]",[0.72034516 0.81579079],83,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'Red/White')]",[1.02928803 0.81480328],35,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'White/Brown')]",[1.03078975 0.94252954],55,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 months'), ('Color', 'White/Tan')]",[0.94085374 0.78271544],44,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '4 weeks'), ('Color', 'Black/White')]",[0.54031607 0.53025361],52,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Tan')]",[1.02750763 1.19653677],68,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Brown')]",[0.95741702 0.95131612],68,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Black/White')]",[0.93192895 0.81104799],282,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Blue/White')]",[0.88922577 0.8826034 ],47,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'White/Black')]",[1.03545241 0.83854214],78,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Black/Tan')]",[1.1293254  0.97940762],60,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Black')]",[1.07019812 1.07665027],98,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Brown/White')]",[0.89432128 0.8191708 ],118,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Brown/Black')]",[0.98689945 0.7123304 ],48,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Tricolor')]",[0.9506574  0.82699102],57,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Black/Brown')]",[0.95784274 0.76130701],81,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'White')]",[0.87607313 0.90662013],62,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Tan/Black')]",[0.89182259 0.82406814],45,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Brown Brindle/White')]",[1.04801546 0.83941915],53,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Tan/White')]",[0.97069188 0.72536053],100,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'Red/White')]",[0.79631164 0.53538324],35,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'White/Brown')]",[0.99233041 1.05304628],67,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '6 months'), ('Color', 'White/Tan')]",[0.84254343 0.84106253],57,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Tan')]",[1.18062555 0.96750264],93,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Brown')]",[1.20850807 1.00509192],105,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Red')]",[1.17522079 1.14991898],63,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Black/White')]",[1.26122402 1.13867384],197,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Blue/White')]",[1.27556195 1.09755144],46,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'White/Black')]",[1.25865322 0.98972327],50,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Black/Tan')]",[1.10282924 1.05932397],64,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Black')]",[1.35340548 1.30347074],117,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Brown/White')]",[1.21513734 1.12713848],106,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Brown/Black')]",[1.28259575 1.12272015],62,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Tricolor')]",[1.24953816 0.97155896],82,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Black/Brown')]",[1.18483772 0.96929988],54,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'White')]",[1.18667707 0.99697904],117,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Brown Brindle/White')]",[1.28779712 0.93908133],55,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Tan/White')]",[1.26859838 0.98612483],102,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'Red/White')]",[1.15259332 0.96951561],31,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'White/Brown')]",[1.29762848 1.11651673],64,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '8 years'), ('Color', 'White/Tan')]",[1.31558591 1.05944738],49,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '1 weeks'), ('Color', 'Black/White')]",[0.60354088 0.96384082],37,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '1 weeks'), ('Color', 'Black')]",[0.78508753 0.89374498],37,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '1 weeks'), ('Color', 'Brown/White')]",[0.65652768 1.10925562],32,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Tan')]",[1.29444808 0.96581932],50,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Brown')]",[1.13365626 0.72363302],44,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Black/White')]",[1.10120701 0.96018074],99,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'White/Black')]",[1.18285098 0.98082938],41,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Black/Tan')]",[1.17850528 0.94304567],38,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Black')]",[1.31506559 1.04515854],64,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Brown/White')]",[1.36052598 1.2371358 ],61,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Tricolor')]",[1.14703598 0.9672894 ],39,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Black/Brown')]",[1.20548003 1.00665122],41,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'White')]",[1.23015127 0.99167542],69,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Brown Brindle/White')]",[1.20772885 1.20578951],33,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'Tan/White')]",[1.16240827 0.90070339],69,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'White/Brown')]",[1.24455412 0.98043654],39,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '9 years'), ('Color', 'White/Tan')]",[1.00132808 0.73273971],37,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'Tan')]",[1.24968982 1.10325374],31,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'Black/White')]",[1.32465372 1.25526395],66,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'White/Black')]",[1.19739903 1.09536613],33,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'Black')]",[1.2869478  1.32149715],51,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'Brown/White')]",[1.17739567 0.99527985],41,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'Tricolor')]",[1.13737533 0.81955819],38,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '12 years'), ('Color', 'White')]",[1.43618223 1.29885427],59,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '13 years'), ('Color', 'Black/White')]",[1.29575321 1.19554767],56,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '13 years'), ('Color', 'Black')]",[1.28622763 1.28425868],30,['Return to Owner' 'none']
"[('Animal Type', 'Dog'), ('Age upon Outcome', '13 years'), ('Color', 'White')]",[1.17032501 1.23616744],38,['Return to Owner' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '3 years'), ('Color', 'Brown')]",[0.56164061 0.59615309],145,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '3 years'), ('Color', 'Black/Gray')]",[0.12693055 1.22831035],36,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Brown')]",[0.55977107 0.7748171 ],867,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Red')]",[0.43709458 1.10434101],51,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Black/White')]",[0.68634456 1.25542267],156,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Black')]",[0.83406543 0.85041357],185,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Brown/White')]",[1.06814526 1.42075212],30,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Brown/Black')]",[0.61039708 0.73843167],161,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Black/Brown')]",[0.58131285 0.91729952],58,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Brown/Brown')]",[0.50152323 0.57041736],149,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Gray')]",[0.75905418 1.48461251],71,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Gray/Black')]",[0.39887728 1.18217451],141,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'White/Brown')]",[1.09280101 1.20199426],31,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '2 years'), ('Color', 'Black/Gray')]",[0.50615901 1.25894343],155,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '5 months'), ('Color', 'Brown')]",[0.46245634 0.86053149],118,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Brown')]",[0.66724723 0.8158478 ],1334,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Red')]",[0.51430505 0.80983514],72,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Black/White')]",[1.01582001 1.31297605],154,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'White/Black')]",[1.07863643 1.23018413],93,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Black')]",[1.12131903 1.1390244 ],283,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Brown/White')]",[1.24746608 1.37339925],41,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Brown/Black')]",[0.81414074 1.24780475],152,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Tricolor')]",[0.90704942 0.8702501 ],56,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Black/Brown')]",[0.5754943  0.77216806],112,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'White')]",[0.95959842 1.13212376],81,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Gray/White')]",[1.20734426 1.51198032],34,['Euthanasia' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Calico')]",[0.55385823 0.64519645],33,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Gray')]",[0.88497793 1.56229862],148,['Euthanasia' 'Suffering']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Gray/Black')]",[0.50395862 1.33023571],148,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'White/Gray')]",[1.20234372 1.53200627],32,['Euthanasia' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'White/Brown')]",[0.77593912 1.02200891],35,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Age upon Outcome', '1 year'), ('Color', 'Black/Gray')]",[0.70620784 1.22951059],94,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '4 weeks'), ('Color', 'Brown')]",[0.88385057 1.09028225],44,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '4 weeks'), ('Color', 'Brown/Black')]",[0.67470747 0.93367964],128,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '4 weeks'), ('Color', 'Black/Brown')]",[0.65466956 0.73326987],36,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '6 months'), ('Color', 'Brown')]",[0.82001293 1.02409318],169,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Other'), ('Age upon Outcome', '6 months'), ('Color', 'Gray')]",[0.54645642 1.23838681],37,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Bird'), ('Age upon Outcome', '2 years'), ('Color', 'Red')]",[0.89448535 0.96425177],45,['Transfer' 'Partner']
"[('Animal Type', 'Bird'), ('Age upon Outcome', '1 year'), ('Color', 'White')]",[1.52179409 1.19415385],35,['Disposal' 'none']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female')]",[0.78698213 1.40729357],9568,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Spayed Female')]",[0.69963103 1.13393537],19156,['Adoption' 'none']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Neutered Male')]",[0.77356689 1.14968098],19332,['Adoption' 'none']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Male')]",[0.79682345 1.38282147],8784,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Unknown')]",[0.56245882 1.36441221],4372,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Sex upon Outcome', 'Intact Female')]",[1.12600758 1.17307917],8996,['Transfer' 'Partner']
"[('Animal Type', 'Dog'), ('Sex upon Outcome', 'Spayed Female')]",[0.94620443 0.84287315],29597,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Sex upon Outcome', 'Neutered Male')]",[1.0464887  0.87446937],34302,['Adoption' 'none']
"[('Animal Type', 'Dog'), ('Sex upon Outcome', 'Intact Male')]",[1.16539658 1.19695287],10129,['Transfer' 'none']
"[('Animal Type', 'Dog'), ('Sex upon Outcome', 'Unknown')]",[1.14322075 1.22484352],626,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Sex upon Outcome', 'Intact Female')]",[1.20727307 1.36834311],558,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Sex upon Outcome', 'Spayed Female')]",[0.49460578 0.54664831],134,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Sex upon Outcome', 'Neutered Male')]",[0.37854353 0.61350173],189,['Adoption' 'none']
"[('Animal Type', 'Other'), ('Sex upon Outcome', 'Intact Male')]",[1.21395137 1.42243756],623,['Transfer' 'Partner']
"[('Animal Type', 'Other'), ('Sex upon Outcome', 'Unknown')]",[0.78390843 1.21019886],6358,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Bird'), ('Sex upon Outcome', 'Intact Female')]",[1.1792221  1.16344362],126,['Adoption' 'none']
"[('Animal Type', 'Bird'), ('Sex upon Outcome', 'Intact Male')]",[1.27882772 1.10152412],204,['Adoption' 'none']
"[('Animal Type', 'Bird'), ('Sex upon Outcome', 'Unknown')]",[1.60361024 1.51050537],445,['Adoption' 'none']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Seal Point')]",[0.98949277 1.59299003],87,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Black/White')]",[0.85439635 1.46661471],711,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Brown Tabby')]",[0.73313984 1.33038121],1427,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Blue/White')]",[0.75478051 1.32974722],189,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Blue')]",[0.7678781 1.3522842],347,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'White/Black')]",[0.70119329 1.16212799],126,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Orange Tabby')]",[0.69691174 1.25224167],340,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Black')]",[0.78257196 1.31147784],1068,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'White/Blue')]",[0.97601643 1.55907876],63,['Transfer' 'Partner']
"[('Animal Type', 'Cat'), ('Sex upon Outcome', 'Intact Female'), ('Color', 'Brown Tabby/White')]",[0.77390381 1.50196094],606,['Transfer' 'Partner']
